,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
1,Al-Hilal Saudi FC,Abdullah Al-Zoari,19.0,Centre-Back,Al-Nahdah FC,?,in,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
7,Al-Hilal Saudi FC,Ibrahima Ba,22.0,Defensive Midfield,FC Thun,€200k,out,Summer,0.2,Saudi Professional League,2007,2007/2008,Saudi Arabia,Super League,Switzerland
8,Al-Hilal Saudi FC,Hassan Al-Otaibi,29.0,Goalkeeper,Al-Qadsiah FC,?,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
9,Al-Hilal Saudi FC,Faisal Al-Jamaan,22.0,Centre-Forward,Al-Fateh,loan transfer,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
10,Al-Hilal Saudi FC,Khaled Shrahili,21.0,Goalkeeper,Al-Raed,loan transfer,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
13,Al-Hilal Saudi FC,Rodrigão,29.0,Centre-Forward,Atlético Paranaense,"End of loanJun 30, 2007",out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
14,Al-Ittihad Club (Jeddah),Abdulrahman Al-Qahtani,24.0,Left Midfield,Ettifaq FC,free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
15,Al-Ittihad Club (Jeddah),Magno Alves,31.0,Centre-Forward,Gamba Osaka,free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,J1 League,Japan
17,Al-Ittihad Club (Jeddah),Robert,26.0,Centre-Forward,Real Betis Balompié,?,in,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Primera Division,Spain
18,Al-Ittihad Club (Jeddah),Renan Teixeira,22.0,Defensive Midfield,São Paulo Futebol Clube,loan transfer,in,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
22,Al-Ittihad Club (Jeddah),Abdullah Al-Waked,31.0,Central Midfield,Al-Nassr FC,free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
23,Al-Ittihad Club (Jeddah),Reinaldo,28.0,Centre-Forward,JEF United Chiba,free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,J1 League,Japan
24,Al-Ittihad Club (Jeddah),Lima,25.0,Centre-Forward,AD São Caetano (SP),free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
26,Al-Ittihad Club (Jeddah),Tcheco,32.0,Central Midfield,Grêmio Foot-Ball Porto Alegrense,free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
30,Al-Ahli Saudi FC,Nunes,25.0,Centre-Forward,América Futebol Clube (RN),free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
36,Al-Ahli Saudi FC,Naif Al-Qadi,28.0,Centre-Back,Al-Shabab Club (Riyadh),?,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
39,Al-Ahli Saudi FC,Caio,26.0,Attacking Midfield,Coritiba Foot Ball Club,"End of loanJun 30, 2007",out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
41,Al-Nassr FC,Abdullah Al-Waked,31.0,Central Midfield,Al-Ittihad Club (Jeddah),free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
43,Al-Nassr FC,Denílson,29.0,Left Winger,FC Dallas,free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Major League Soccer,United States of America
47,Al-Shabab Club (Riyadh),Nasser Al-Shamrani,23.0,Centre-Forward,Al-Wehda FC,€2.57m,in,Summer,2.57,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
48,Al-Shabab Club (Riyadh),Juan Manuel Martínez,21.0,Right Winger,CA Vélez Sarsfield,Loan fee:€200k,in,Summer,0.2,Saudi Professional League,2007,2007/2008,Saudi Arabia,Superliga,Argentina
51,Al-Shabab Club (Riyadh),Naif Al-Qadi,28.0,Centre-Back,Al-Ahli Saudi FC,?,in,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
53,Al-Shabab Club (Riyadh),Nashat Akram,22.0,Attacking Midfield,Al-Ain FC,€732k,out,Summer,0.732,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
54,Al-Shabab Club (Riyadh),Naif Mousa,20.0,Left-Back,Al-Hazem SC,free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
55,Al-Shabab Club (Riyadh),Godwin Attram,27.0,Centre-Forward,Al-Hazem SC,?,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
58,Ettifaq FC,Abdulrahman Al-Qahtani,24.0,Left Midfield,Al-Ittihad Club (Jeddah),free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
60,Ettifaq FC,Ousmane N'Doye,29.0,Defensive Midfield,Académica Coimbra,"End of loanJun 30, 2007",out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Liga Nos,Portugal
61,Al-Wehda FC,Nasser Al-Shamrani,23.0,Centre-Forward,Al-Shabab Club (Riyadh),€2.57m,out,Summer,2.57,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
64,Al-Hazem SC,Naif Mousa,20.0,Left-Back,Al-Shabab Club (Riyadh),free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
65,Al-Hazem SC,Godwin Attram,27.0,Centre-Forward,Al-Shabab Club (Riyadh),?,in,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
67,Al-Hazem SC,Iranildo,30.0,Attacking Midfield,Brasiliense Futebol Clube (DF),free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
68,Al-Hazem SC,Toy,30.0,Centre-Forward,SC Olhanense,?,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Liga Nos,Portugal
69,Al-Hazem SC,Geilson,23.0,Centre-Forward,Atlético Paranaense,?,out,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
71,Najran SC,Jaber Al-Aameri,21.0,Goalkeeper,Al-Faisaly FC,free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
75,Al-Watani,Sylvain Idangar,23.0,Left Winger,Olympique Lyon,free transfer,in,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Ligue 1,France
78,Al-Qadsiah FC,Hassan Al-Otaibi,29.0,Goalkeeper,Al-Hilal Saudi FC,?,in,Summer,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
79,Al-Qadsiah FC,Saraiva,24.0,Left Midfield,Herfölge Boldklub,free transfer,out,Summer,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Superligaen,Denmark
84,Al-Hilal Saudi FC,Marco Vanzini,31.0,Defensive Midfield,Esporte Clube Juventude,?,in,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
88,Al-Hilal Saudi FC,Guarú,26.0,Attacking Midfield,Grêmio Barueri (SP),free transfer,out,Winter,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
90,Al-Ittihad Club (Jeddah),Biscotte Mbala,22.0,Centre-Forward,Yverdon Sport FC,loan transfer,in,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Super League,Switzerland
91,Al-Ittihad Club (Jeddah),Tcheco,31.0,Central Midfield,Grêmio Foot-Ball Porto Alegrense,"End of loanDec 1, 2007",in,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
92,Al-Ittihad Club (Jeddah),Robert,26.0,Centre-Forward,CF Monterrey,?,out,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Liga Mx Apertura,Mexico
93,Al-Ittihad Club (Jeddah),Renan Teixeira,22.0,Defensive Midfield,São Paulo Futebol Clube,"End of loanMar 1, 2008",out,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
94,Al-Ahli Saudi FC,Val Baiano,26.0,Centre-Forward,Sociedade Esportiva do Gama (DF),free transfer,in,Winter,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
95,Al-Ahli Saudi FC,Caio,27.0,Attacking Midfield,Coritiba Foot Ball Club,free transfer,in,Winter,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
97,Al-Ahli Saudi FC,Nunes,25.0,Centre-Forward,Clube Atlético Bragantino (SP),free transfer,out,Winter,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
98,Al-Ahli Saudi FC,Rabi Al-Mousa,23.0,Right-Back,Al-Taawoun FC,loan transfer,out,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Saudi Professional League,Saudi Arabia
106,Al-Watani,Yacine Hima,23.0,Central Midfield,FC Aarau,free transfer,in,Winter,0.0,Saudi Professional League,2007,2007/2008,Saudi Arabia,Super League,Switzerland
109,Al-Qadsiah FC,Walter Minhoca,25.0,Attacking Midfield,Cruzeiro Esporte Clube,loan transfer,in,Winter,,Saudi Professional League,2007,2007/2008,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
110,Al-Ittihad Club (Jeddah),Nourdin Boukhari,28.0,Attacking Midfield,Sparta Rotterdam,€1.45m,in,Summer,1.45,Saudi Professional League,2008,2008/2009,Saudi Arabia,Eredivisie,Netherlands
116,Al-Ittihad Club (Jeddah),Luciano Leguizamón,26.0,Centre-Forward,Arsenal Fútbol Club,loan transfer,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Superliga,Argentina
118,Al-Ittihad Club (Jeddah),Abdulrahman Al-Qahtani,25.0,Left Midfield,Ettifaq FC,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
120,Al-Ittihad Club (Jeddah),Alhassane Keita,25.0,Centre-Forward,RCD Mallorca,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Primera Division,Spain
123,Al-Ittihad Club (Jeddah),Biscotte Mbala,23.0,Centre-Forward,Yverdon Sport FC,"End of loanJun 30, 2008",out,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Super League,Switzerland
124,Al-Hilal Saudi FC,Christian Wilhelmsson,28.0,Right Winger,FC Nantes,€3.50m,in,Summer,3.5,Saudi Professional League,2008,2008/2009,Saudi Arabia,Ligue 1,France
125,Al-Hilal Saudi FC,Ronald Raldes,27.0,Centre-Back,CA Rosario Central,€1.10m,in,Summer,1.1,Saudi Professional League,2008,2008/2009,Saudi Arabia,Superliga,Argentina
126,Al-Hilal Saudi FC,Osama Hawsawi,24.0,Centre-Back,Al-Wehda FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
127,Al-Hilal Saudi FC,Hassan Al-Otaibi,30.0,Goalkeeper,Al-Qadsiah FC,?,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
131,Al-Hilal Saudi FC,Bader Al-Karashi,26.0,Attack,Al-Ahli Saudi FC,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
133,Al-Hilal Saudi FC,Sultan Al-Bargan,25.0,Central Midfield,Ettifaq FC,loan transfer,out,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
135,Al-Hilal Saudi FC,Fahed Al-Mofarij,30.0,Defence,Ettifaq FC,?,out,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
140,Al-Ahli Saudi FC,Hassan Al-Raheb,24.0,Second Striker,Al-Khaleej,€775k,in,Summer,0.775,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
141,Al-Ahli Saudi FC,Bader Al-Karashi,26.0,Attack,Al-Hilal Saudi FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
142,Al-Ahli Saudi FC,Harison,28.0,Right Winger,União de Leiria,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Liga Nos,Portugal
144,Al-Ahli Saudi FC,Karam Barnawi,21.0,Right-Back,Al-Ansar,?,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
145,Al-Ahli Saudi FC,Josimar Mosquera,26.0,Centre-Back,Arsenal Fútbol Club,loan transfer,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Superliga,Argentina
147,Al-Ahli Saudi FC,Rabi Al-Mousa,24.0,Right-Back,Al-Taawoun FC,"End of loanJun 30, 2009",in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
149,Al-Ahli Saudi FC,Hussein Abdulghani,31.0,Left-Back,Neuchâtel Xamax,€500k,out,Summer,0.5,Saudi Professional League,2008,2008/2009,Saudi Arabia,Super League,Switzerland
150,Al-Ahli Saudi FC,Saleh Al-Mohammadi,27.0,Attacking Midfield,Abha Club,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
151,Al-Ahli Saudi FC,Val Baiano,27.0,Centre-Forward,Grêmio Barueri (SP),free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
152,Al-Ahli Saudi FC,Ali Al-Abdali,29.0,Right-Back,Al-Raed,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
153,Al-Ahli Saudi FC,Ali Al-Turki,19.0,Right Midfield,Najran SC,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
154,Al-Ahli Saudi FC,Waleed Al-Gizani,27.0,Centre-Forward,Al-Hazem SC,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
155,Al-Ahli Saudi FC,Harison,28.0,Right Winger,Al-Wehda FC,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
156,Al-Ahli Saudi FC,Caio,27.0,Attacking Midfield,Esporte Clube Bahia,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
159,Al-Shabab Club (Riyadh),Abdulmalek Al-Khaibri,22.0,Defensive Midfield,Al-Qadsiah FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
161,Al-Shabab Club (Riyadh),Youssef Al-Salem,23.0,Centre-Forward,Al-Qadsiah FC,?,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
163,Al-Shabab Club (Riyadh),Juan Manuel Martínez,22.0,Right Winger,CA Vélez Sarsfield,"End of loanJun 30, 2008",out,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Superliga,Argentina
164,Al-Nassr FC,Razak Omotoyossi,22.0,Centre-Forward,Helsingborgs IF,€2.20m,in,Summer,2.2,Saudi Professional League,2008,2008/2009,Saudi Arabia,Allsvenskan,Sweden
165,Al-Nassr FC,Éder Gaúcho,30.0,Centre-Back,União de Leiria,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Liga Nos,Portugal
166,Al-Nassr FC,Bader Al-Nakhli,20.0,Centre-Back,Al-Qadsiah FC,?,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
171,Ettifaq FC,Paulo Sérgio,27.0,Defensive Midfield,Académica Coimbra,Loan fee:€75k,in,Summer,0.075,Saudi Professional League,2008,2008/2009,Saudi Arabia,Liga Nos,Portugal
172,Ettifaq FC,Abdulrahman Al-Qahtani,25.0,Left Midfield,Al-Ittihad Club (Jeddah),free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
173,Ettifaq FC,Sultan Al-Bargan,25.0,Central Midfield,Al-Hilal Saudi FC,loan transfer,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
177,Ettifaq FC,Fahed Al-Mofarij,30.0,Defence,Al-Hilal Saudi FC,?,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
182,Al-Wehda FC,Harison,28.0,Right Winger,Al-Ahli Saudi FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
184,Al-Wehda FC,Osama Hawsawi,24.0,Centre-Back,Al-Hilal Saudi FC,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
186,Al-Wehda FC,Harison,29.0,Right Winger,Guarani Futebol Clube (SP),loan transfer,out,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
188,Al-Hazem SC,Waleed Al-Gizani,27.0,Centre-Forward,Al-Ahli Saudi FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
191,Najran SC,Ali Al-Turki,19.0,Right Midfield,Al-Ahli Saudi FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
196,Al-Raed,Ali Al-Abdali,29.0,Right-Back,Al-Ahli Saudi FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
197,Al-Raed,Raed Al-Amri,19.0,Left-Back,Al-Watani,?,in,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
201,Abha Club,Saleh Al-Mohammadi,27.0,Attacking Midfield,Al-Ahli Saudi FC,free transfer,in,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
202,Al-Watani,Yacine Hima,24.0,Central Midfield,AC Bellinzona,free transfer,out,Summer,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Super League,Switzerland
204,Al-Watani,Raed Al-Amri,19.0,Left-Back,Al-Raed,?,out,Summer,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
205,Al-Ittihad Club (Jeddah),Renato Cajá,24.0,Attacking Midfield,Associação Atlética Ponte Preta,€2.60m,in,Winter,2.6,Saudi Professional League,2008,2008/2009,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
206,Al-Ittihad Club (Jeddah),Naif Al-Balawi,22.0,Centre-Forward,Al-Watani,?,in,Winter,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
207,Al-Ittihad Club (Jeddah),Nourdin Boukhari,28.0,Attacking Midfield,NAC Breda,free transfer,out,Winter,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Eredivisie,Netherlands
209,Al-Hilal Saudi FC,Ki-hyeon Seol,29.0,Right Winger,Fulham FC,loan transfer,in,Winter,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Premier League,England
220,Al-Nassr FC,Hossam Ghaly,27.0,Central Midfield,Tottenham Hotspur,free transfer,in,Winter,0.0,Saudi Professional League,2008,2008/2009,Saudi Arabia,Premier League,England
224,Al-Wehda FC,Mejdi Traoui,25.0,Central Midfield,Red Bull Salzburg,Loan fee:€400k,in,Winter,0.4,Saudi Professional League,2008,2008/2009,Saudi Arabia,Bundesliga,Austria
232,Al-Watani,Josimar,22.0,Defensive Midfield,Sport Club Internacional,loan transfer,in,Winter,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
233,Al-Watani,Naif Al-Balawi,22.0,Centre-Forward,Al-Ittihad Club (Jeddah),?,out,Winter,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Saudi Professional League,Saudi Arabia
234,Al-Watani,Josimar,22.0,Defensive Midfield,Sport Club Internacional,"End of loanApr 30, 2009",out,Winter,,Saudi Professional League,2008,2008/2009,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
236,Al-Hilal Saudi FC,Thiago Neves,24.0,Attacking Midfield,Hamburger SV,€7.00m,in,Summer,7.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,1 Bundesliga,Germany
237,Al-Hilal Saudi FC,Young-pyo Lee,32.0,Left-Back,Borussia Dortmund,free transfer,in,Summer,0.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,1 Bundesliga,Germany
238,Al-Hilal Saudi FC,Essa Al-Mahyani,26.0,Centre-Forward,Al-Wehda FC,free transfer,in,Summer,0.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
239,Al-Hilal Saudi FC,Abdullah Al-Dawsari,19.0,Right-Back,Ettifaq FC,?,in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
240,Al-Hilal Saudi FC,Faisal Al-Jamaan,24.0,Centre-Forward,Al-Fateh,"End of loanJun 30, 2010",in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
241,Al-Hilal Saudi FC,Fahad Al-Shammari,29.0,Goalkeeper,Al-Qadsiah FC,"End of loanJun 30, 2010",in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
242,Al-Hilal Saudi FC,Khaled Shrahili,23.0,Goalkeeper,Al-Raed,"End of loanJun 30, 2010",in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
243,Al-Hilal Saudi FC,Sultan Al-Bargan,26.0,Central Midfield,Ettifaq FC,"End of loanJun 30, 2009",in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
244,Al-Hilal Saudi FC,Tareq Al Tayeb,32.0,Midfield,Al-Shabab Club (Riyadh),?,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
245,Al-Hilal Saudi FC,Abdulaziz Al-Khathran,35.0,Defensive Midfield,Al-Wehda FC,?,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
247,Al-Hilal Saudi FC,Fahad Al-Shammari,28.0,Goalkeeper,Al-Qadsiah FC,loan transfer,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
248,Al-Hilal Saudi FC,Mohammed Al-Gizani,19.0,Right-Back,Al-Nassr FC,-,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
249,Al-Hilal Saudi FC,Ki-hyeon Seol,30.0,Right Winger,Fulham FC,"End of loanJun 30, 2009",out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Premier League,England
250,Ettifaq FC,José Luis Garcés,28.0,Centre-Forward,Académica Coimbra,?,in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Liga Nos,Portugal
253,Ettifaq FC,Mohammed Al-Shahrani,27.0,Attack,Al-Nassr FC,?,in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
254,Ettifaq FC,Youssef Al-Salem,24.0,Centre-Forward,Al-Shabab Club (Riyadh),?,in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
255,Ettifaq FC,Prince Tagoe,22.0,Attack,TSG 1899 Hoffenheim,free transfer,out,Summer,0.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,1 Bundesliga,Germany
256,Ettifaq FC,Rashed Al Rahab,25.0,Right-Back,Al-Ittihad Club (Jeddah),?,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
257,Ettifaq FC,Mohammed Al-Shahrani,28.0,Attack,Al-Nassr FC,?,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
258,Ettifaq FC,Abdullah Al-Dawsari,19.0,Right-Back,Al-Hilal Saudi FC,?,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
259,Ettifaq FC,Mohamad Roubize,23.0,Central Midfield,Al-Hazem SC,?,out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
261,Ettifaq FC,Paulo Sérgio,27.0,Defensive Midfield,Académica Coimbra,"End of loanJun 30, 2009",out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Liga Nos,Portugal
262,Ettifaq FC,Sultan Al-Bargan,26.0,Central Midfield,Al-Hilal Saudi FC,"End of loanJun 30, 2009",out,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
264,Al-Ittihad Club (Jeddah),Amine Chermiti,21.0,Centre-Forward,Hertha BSC,Loan fee:€900k,in,Summer,0.9,Saudi Professional League,2009,2009/2010,Saudi Arabia,1 Bundesliga,Germany
265,Al-Ittihad Club (Jeddah),Rashed Al Rahab,25.0,Right-Back,Ettifaq FC,?,in,Summer,,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
267,Al-Ittihad Club (Jeddah),Renato Cajá,24.0,Attacking Midfield,Grêmio Foot-Ball Porto Alegrense,free transfer,out,Summer,0.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,Campeonato Brasileiro Serie A,Brazil
268,Al-Ittihad Club (Jeddah),Naif Al-Balawi,23.0,Centre-Forward,Al-Ansar,free transfer,out,Summer,0.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
269,Al-Ittihad Club (Jeddah),Mohamad Labib,22.0,Centre-Forward,Al-Qadsiah FC,free transfer,out,Summer,0.0,Saudi Professional League,2009,2009/2010,Saudi Arabia,Saudi Professional League,Saudi Arabia
