club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Deportes Tolima,Milton Rodríguez,33,Centre-Forward,Millonarios FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Iván Corredor,26,Left Midfield,Independiente Medellín,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Luis Perea,22,Centre-Forward,Atlético Nacional,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Julián Díaz,20,Defence,Atlético Nacional,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Mike Campaz,21,Defensive Midfield,CD Expreso Rojo,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Róbinson Cañas,21,Midfield,Atlético Nacional,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Gilberto García,22,Right-Back,Atlético Bucaramanga,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Cristian Mejía,18,Left Winger,FC Timisoara,€150k,out,Summer,0.15,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Donald Millán,23,Attacking Midfield,CD América de Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Javier Arizala,26,Left-Back,Independiente Santa Fe,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,José Cáceres,25,Defence,Club 12 de Octubre de Itauguá,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,William Arias,18,Goalkeeper,Otelul Galati,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,César Rivas,30,Left Winger,Independiente Medellín,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Gilberto García,22,Right-Back,Asociación Deportivo Pasto,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportes Tolima,Franklin González,32,Midfield,Retired,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Manuel Galarcio,34,Defence,Técnico Universitario,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Andrés Arboleda,22,Defensive Midfield,Deportivo Pereira,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Jhon Jairo Castillo,25,Right Winger,Deportivo Pereira,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Henry Zambrano,35,Centre-Forward,CD Atlético de la Sabana,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Léiner Rolong,27,Attacking Midfield,CD Macará,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Jairo Martínez,35,Midfield,Dépor FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Jorge Zapata,30,Defence,Dépor FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Róbinson Aponzá,20,Left Winger,Atlético Bucaramanga,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Hamlet Mina,31,Midfield,CD América de Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cortuluá,Christian López,23,Central Midfield,CD Expreso Rojo,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Nelson Ramos,27,Goalkeeper,Asociación Deportivo Pasto,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Herly Alcázar,32,Centre-Forward,CD Atlético Huila,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Ariel Carreño,30,Centre-Forward,Once Caldas,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Juan Diego González,28,Centre-Back,Cerro Largo FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Roberto Polo,28,Centre-Forward,Cúcuta Deportivo,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Anuar Hurtado,19,Centre-Back,Boyacá Chicó FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Jair Rambal,28,Centre-Forward,Deportes Quindío,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Silvio Arango,21,Central Midfield,SD Aucas,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Carlos Bejarano,24,Goalkeeper,CD Árabe Unido,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,David Felipe Giraldo,24,Midfield,Without Club,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD La Equidad Seguros SA,Alfredo Padilla,19,Left Winger,Junior FC,"End of loanJun 30, 2009",out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Pablo Bonvín,28,Centre-Forward,Niki Volou,free transfer,in,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Alejandro Botero,28,Goalkeeper,CA San Martín (San Juan),?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Anuar Hurtado,19,Centre-Back,CD La Equidad Seguros SA,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Edilio Cardoso,26,Attack,Club Almirante Brown,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Octavio Cortés,25,Defence,Deportes Palmira FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Luis Calvo,17,Left Midfield,Bogotá FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Zafir Páez,15,Midfield,Boyacá Chicó FC U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Juan Tejera,26,Centre-Back,Central Español,free transfer,out,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Edigson Velázquez,37,Goalkeeper,Deportivo Pereira,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Ormedis Madera,28,Left-Back,Asociación Deportivo Pasto,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Jhon Fredy Pajoy,20,Left Winger,Boyacá Patriotas FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Luis Durán,20,Midfield,Unknown,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Marco Pérez,18,Centre-Forward,Club de Gimnasia y Esgrima La Plata,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Edwin Móvil,23,Attacking Midfield,Club Atlético Belgrano,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Boyacá Chicó FC,Juan Mahecha,21,Defensive Midfield,Club Atlético Belgrano,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Ervin Maturana,30,Left-Back,Once Caldas,free transfer,in,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Jorge Díaz,32,Attack,Junior FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Alfredo Padilla,19,Left Winger,Junior FC,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,David Córdoba,28,Left Midfield,Atlético Nacional,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Carlos Rentería,23,Centre-Forward,Atlético Nacional,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Gonzalo Martínez,33,Right-Back,Without Club,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Jefferson Angulo,22,Attacking Midfield,Vila Nova Futebol Clube (GO),free transfer,out,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Herly Alcázar,32,Centre-Forward,CD La Equidad Seguros SA,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Juan David Valencia,23,Left-Back,Independiente Medellín,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Fabián Cuéllar,24,Attacking Midfield,CD Santiago Morning ,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Carlos Salazar,28,Attacking Midfield,Mes Rafsanjan,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Rubén Robledo,19,Attack,Once Caldas,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Ronald Caicedo,21,Right-Back,Austin Aztex FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Atlético Huila,Carlos Córdoba,31,Defence,Retired,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Luis Yanes,26,Centre-Forward,LOSC Lille,free transfer,in,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Hárrison Otálvaro,23,Attacking Midfield,CD América de Cali,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Geovanni García,32,Left-Back,CD Real Cartagena,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Diego Basto,21,Midfield,Boyacá Patriotas FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Humberto Osorio,21,Centre-Forward,Atlético Bucaramanga,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Ariel Sevillano,24,Midfield,Deportes Quindío,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Roberto Polo,28,Centre-Forward,CD La Equidad Seguros SA,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Juan Carlos Escobar,26,Right Midfield,Krylya Sovetov Samara,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Sebastián Ramírez,26,Midfield,Once Caldas,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Nilson Ríos,17,Midfield,Cúcuta Deportivo U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Víctor Tarazona,18,Defence,Unknown,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Julio Caicedo,23,Centre-Forward,Deportivo Lara,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Mauricio Chalar,22,Centre-Forward,Millonarios FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Álvaro Barros,22,Attack,FCR Valledupar,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,James Castro,24,Right-Back,Asociación Deportivo Pasto,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Mario Muñoz,24,Goalkeeper,Atlético Bucaramanga,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Yamilson Rivera,20,Right Winger,CD América de Cali,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Jarín Asprilla,22,Right Midfield,Cúcuta Deportivo B,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Cúcuta Deportivo,Fredy Arizala,26,Defence,Cúcuta Deportivo B,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Néstor Salazar,35,Centre-Forward,Asociación Deportivo Pasto,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Ayron del Valle,20,Centre-Forward,Independiente Medellín,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Carlos Acevedo,21,Midfield,Bogotá FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Armando Maldonado,23,Right-Back,Itagüí Ditaires,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Geovanni García,31,Left-Back,Asociación Deportivo Pasto,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Óscar Passo,29,Centre-Back,Unknown,free transfer,out,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Hernando Patiño,36,Central Midfield,Junior FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Yeison Devoz,20,Midfield,Atlético Nacional,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Mario Benítez,25,Centre-Forward,CD Luis Angel Firpo,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Geovanni García,32,Left-Back,Cúcuta Deportivo,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
CD Real Cartagena,Henry Valderrama,28,Attack,Unknown,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Freddy Grisales,33,Central Midfield,Envigado FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Hernando Patiño,36,Central Midfield,CD Real Cartagena,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Jorge Casanova,32,Central Midfield,Once Caldas,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Víctor Pacheco,34,Attacking Midfield,Asociación Deportivo Pasto,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Francisco Rodríguez,22,Defensive Midfield,Barranquilla FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Alfredo Padilla,19,Left Winger,CD La Equidad Seguros SA,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Ricardo Ciciliano,32,Attacking Midfield,Millonarios FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Jaime Córdoba,21,Defensive Midfield,CD América de Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Jorge Díaz,32,Attack,CD Atlético Huila,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Marcelo Méndez,28,Centre-Back,Montevideo Wanderers,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Yamil Chará,23,Midfield,Barranquilla FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Marlon Negrete,22,Attacking Midfield,Inti Gas Deportes Ayacucho,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Alfredo Padilla,19,Left Winger,CD Atlético Huila,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Javier Flórez,27,Central Midfield,Career break,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Junior FC,Luis Yanes,26,Centre-Forward,LOSC Lille,"End of loanJun 30, 2009",out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Carlos Valdés,24,Centre-Back,CD América de Cali,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Javier Arizala,26,Left-Back,Deportes Tolima,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Daniel Bocanegra,22,Centre-Back,CD Academia FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Andrés Acosta,20,Goalkeeper,Millonarios FC B,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Mario Gómez,23,Centre-Forward,Deportes Quindío,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Leonel Vielma,30,Centre-Back,Caracas FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Emmanuel Acosta,27,Centre-Back,CD América de Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Jhonnier González,26,Centre-Back,Juventud Soacha,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Francisco Nájera,25,Centre-Back,Unión Española,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Mauricio Acosta,19,Goalkeeper,Juventud Soacha,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Luis Fernando Mosquera,22,Attacking Midfield,Independiente Medellín,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Santa Fe,Eulín Carabalí,31,Goalkeeper,Retired,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,León Muñoz,32,Attack,Atlético Nacional,free transfer,in,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Ricardo Ciciliano,32,Attacking Midfield,Junior FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Mauricio Chalar,22,Centre-Forward,Cúcuta Deportivo,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Óscar Briceño,23,Attack,CS Herediano,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Iván Hurtado,34,Centre-Back,Deportivo Quito,free transfer,out,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Milton Rodríguez,33,Centre-Forward,Deportes Tolima,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Luis Tejada,27,Centre-Forward,Tauro FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Johnatan Estrada,26,Attacking Midfield,Real Sociedad,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Millonarios FC,Carlos Ramírez,21,Centre-Back,Millonarios FC B,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Juan David Valencia,23,Left-Back,CD Atlético Huila,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,César Valoyes,25,Centre-Forward,Tiburones Rojos de Veracruz,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Felipe Pardo,18,Right Winger,Deportivo Cali,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Brunet Hay,24,Centre-Forward,Tauro FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,César Rivas,30,Left Winger,Deportes Tolima,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Luis Fernando Mosquera,22,Attacking Midfield,Independiente Santa Fe,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Alexander Viveros,31,Left-Back,Without Club,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Yorleys Mena,18,Centre-Forward,Independiente Medellín U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Diego Álvarez,27,Centre-Forward,San Luis FC,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Ayron del Valle,20,Centre-Forward,CD Real Cartagena,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Iván Corredor,26,Left Midfield,Deportes Tolima,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Sebastián Viáfara,18,Left-Back,Deportes Quindío,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Juan Cuadrado,21,Right Midfield,Udinese Calcio,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Sebastián Botero,22,Midfield,Once Caldas,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Carlos Hidalgo,23,Centre-Forward,Asociación Deportivo Pasto,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Diego Álvarez,27,Centre-Forward,Deportivo Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Isidro Candía,30,Attacking Midfield,Comunicaciones FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Diego Cabrera,26,Centre-Forward,Club Deportivo Oriente Petrolero,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Independiente Medellín,Jair Benítez,30,Left-Back,Deportivo Cali,"End of loanJun 30, 2009",out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Pablo Escobar,23,Centre-Back,Kansas City Wizards,free transfer,in,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Duvier Riascos,23,Centre-Forward,Estudiantes de Mérida,free transfer,in,Summer,0,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Luis Chará,28,Central Midfield,Atlético Nacional,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Wílmer Parra,25,Centre-Forward,CD América de Cali,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Juan Carlos Mariño,27,Attacking Midfield,Club Cienciano,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Diego Álvarez,27,Centre-Forward,Independiente Medellín,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Járol Martínez,22,Left-Back,Atlético Nacional,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Gustavo Cuéllar,16,Defensive Midfield,Deportivo Cali U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Andrés Escobar,18,Left Winger,Deportivo Cali U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Jeison Murillo,17,Centre-Back,Deportivo Cali U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Jáiber Cardona,19,Goalkeeper,CD Atlético de la Sabana,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Jair Benítez,30,Left-Back,Independiente Medellín,"End of loanJun 30, 2009",in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Jair Benítez,30,Left-Back,FC Dallas,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Anderson Paredes,25,Centre-Back,Unknown,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Felipe Pardo,18,Right Winger,Independiente Medellín,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Armando Carrillo,23,Right Winger,Atlético Nacional,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Jhonny Vásquez,21,Defensive Midfield,Monagas SC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Luis Cabezas,23,Centre-Forward,Monagas SC,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Cali,Pablo Batalla,25,Attacking Midfield,CA Vélez Sarsfield,"End of loanJun 30, 2009",out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Jhon Charría,31,Midfield,Atlético Nacional,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Edwin Tenorio,33,Defensive Midfield,Deportivo Quito,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Edigson Velázquez,37,Goalkeeper,Boyacá Chicó FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Gustavo Victoria,29,Left-Back,CD América de Cali,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Mario Angulo,25,Centre-Forward,Atlético Bucaramanga,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Víctor Cortés,33,Right Winger,CD América de Cali,loan transfer,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Édison Toloza,25,Right Winger,CD América de Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Luis Zapata,29,Left-Back,CD América de Cali,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Jesús Sinisterra,33,Left-Back,Envigado FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Andrés Arboleda,22,Defensive Midfield,Cortuluá,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Jhon Jairo Castillo,25,Right Winger,Cortuluá,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Guillermo Berrío,20,Midfield,Envigado FC,?,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,Jhony Acosta,26,Midfield,Envigado FC,loan transfer,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Deportivo Pereira,John Mario Ramirez,38,Midfield,Retired,-,out,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Atlético Nacional,Armando Carrillo,23,Right Winger,Deportivo Cali,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Atlético Nacional,Yeison Devoz,20,Midfield,CD Real Cartagena,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Atlético Nacional,Jairo Patiño,31,Right Midfield,San Luis FC,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Atlético Nacional,Gastón Pezzuti,33,Goalkeeper,Club Atlético Gimnasia y Esgrima (Jujuy),?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Atlético Nacional,Ezequiel Maggiolo,32,Centre-Forward,Club Estudiantes de La Plata,?,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
Atlético Nacional,Wéimar González,19,Midfield,Atlético Nacional U20,-,in,Summer,NA,Liga Dimayor I,2009,2009/2010,Colombia
